id_prueba,nombre,tipo,fecha
P1031,Página 1,button,
P1031,Página 2,button,
P1031,Página 3,button,
P1031,Página 4,button,
P1031,Página 5,button,
P1031,Página 6,button,
P1031,Página 7,button,
P1031,Ingresar ubicación,button,
P1031,Página 1,button,
P1031,Página 2,button,
P1031,Página 3,button,
P1031,Página 4,button,
P1031,Página 5,button,
P1031,Página 6,button,
P1031,Página 1,button,
P1031,Página 2,button,
P1031,Página 3,button,
P1031,Más información,button,
P1031,Aceptar cookies,button,
P1031,Configurar cookies,button,
P1031,Agregar código postal,button,
P1031,Más tarde,button,
P1031,Mercado Libre México - Donde comprar y vender de todo,a,
P1031,Ingresa tu domicilio,a,
P1031,Categorías,a,
P1031,Ofertas,a,
P1031,Historial,a,
P1031,Supermercado,a,
P1031,Vender,a,
P1031,Crea tu cuenta,a,
P1031,Ingresa,a,
P1031,Mis compras,a,
P1031,0 productos en tu carrito,a,
P1031,Ingresar a tu cuenta,a,
P1031,Mostrar productos,a,
P1031,Ir a Más vendidos,a,
P1031,Cómo funciona,a,
P1031,Laptop Huawei Matebook D 14 Ci3 12a 8 Gb 256 Gb Win11 Gris,a,
P1031,Mostrar todas las ofertas,a,
P1031,Xiaomi Pocophone Poco M5s Dual Sim 256 Gb Gris 8 Gb Ram,a,
P1031,Consola Xbox Series S 512gb Color Blanco,a,
P1031,Tenis Park Street Id5580 adidas,a,
P1031,"Colchón América Matrimonial Frida Con Tecnología Perferct Side Y Descanso Ortopédico, Altura De 28 Cm Y Con Tratamiento Antibacterial, De Confort Medio",a,
P1031,Ver condiciones,a,
P1031,Condiciones generales,a,
P1031,Condiciones generales,a,
P1031,Ver todos,a,
P1031,Suscribirme a Meli+,a,
P1031,CLIMATIZACIÓN,a,
P1031,ORGANIZA TU HOGAR,a,
P1031,COMPRA INTERNACIONAL,a,
P1031,"Sin cargo con Meli+
Disney+ y Star+",a,
P1031,"7 DÍAS GRATIS
Hasta 30% OFF
ViX Premium",a,
P1031,"Hasta 30% OFF
Max",a,
P1031,"CELULARES
HASTA 25%
DE DESCUENTO
VER MÁS",a,
P1031,"LO MÁS TOP
EN MODA PARA
TUS VACACIONES
VER MÁS",a,
P1031,"CONOCE LO MEJOR EN
BELLEZA Y
CUIDADO PERSONAL
VER MÁS",a,
P1031,"PERFUMES
CONOCE NUESTROS
AROMAS SELECTOS
VER MÁS",a,
P1031,Mostrar todas las categorías,a,
P1031,"Autos, Motos y Otros",a,
P1031,Accesorios para Vehículos,a,
P1031,"Hogar, Muebles y Jardín",a,
P1031,Celulares y Telefonía,a,
P1031,"Ropa, Bolsas y Calzado",a,
P1031,Computación,a,
P1031,Electrodomésticos,a,
P1031,Deportes y Fitness,a,
P1031,Inmuebles,a,
P1031,Herramientas,a,
P1031,Belleza y Cuidado Personal,a,
P1031,"Electrónica, Audio y Video",a,
P1031,Cómo pagar con Mercado Pago,a,
P1031,Cómo te protegemos,a,
P1031,Trabaja con nosotros,a,
P1031,Términos y condiciones,a,
P1031,Promociones,a,
P1031,Cómo cuidamos tu privacidad,a,
P1031,Accesibilidad,a,
P1031,Ayuda,a,
P1031,Hot Sale,a,
P1031,Mercado Libre,a,
P1031,Centro de Privacidad.,a,
P1032,te da envío gratisEn carritos desde $ 299,button,
P1032,Envío gratis,button,
P1032,Miles de productos del mundo a tu casa,button,
P1032,"Más relevantes
Más relevantes",button,
P1032,1,button,
P1032,2,button,
P1032,3,button,
P1032,4,button,
P1032,5,button,
P1032,6,button,
P1032,7,button,
P1032,8,button,
P1032,9,button,
P1032,10,button,
P1032,Más información,button,
P1032,Aceptar cookies,button,
P1032,Configurar cookies,button,
P1032,Agregar código postal,button,
P1032,Más tarde,button,
P1032,Mercado Libre México - Donde comprar y vender de todo,a,
P1032,"Ingresa tu
código postal",a,
P1032,Categorías,a,
P1032,Ofertas,a,
P1032,Historial,a,
P1032,Supermercado,a,
P1032,Vender,a,
P1032,Crea tu cuenta,a,
P1032,Ingresa,a,
P1032,Mis compras,a,
P1032,lamparas de pie,a,
P1032,lamparas de buro,a,
P1032,lamparas de mesa,a,
P1032,lamparas colgantes,a,
P1032,lamparas para recamara,a,
P1032,lamparas de emergencia,a,
P1032,lamparas para exteriores,a,
P1032,Saltar a resultados,a,
P1032,"Solo tiendas oficiales
(53,827)",a,
P1032,"Deportes y Fitness
(57,841)",a,
P1032,"Iluminación para el Hogar
(655,328)",a,
P1032,"Tuning
(207,562)",a,
P1032,"Refacciones Autos y Camionetas
(67,732)",a,
P1032,"Electrónica, Audio y Video
(19,588)",a,
P1032,"Adornos y Decoración del Hogar
(19,352)",a,
P1032,"Cámaras y Accesorios
(18,055)",a,
P1032,"Jardín y Aire Libre
(17,111)",a,
P1032,"Animales y Mascotas
(14,515)",a,
P1032,Mostrar más,a,
P1032,"Meses sin intereses
(953,827)",a,
